question,answer,option,gt_option
Daniel journeyed to the office. John travelled to the office. Mary went back to the garden. Mary went to the bedroom. Mary put down the milk. Where was the milk before the bedroom?,garden,a)garden b)kitchen c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,a
Daniel travelled to the bathroom. Mary travelled to the bedroom. John got the milk. John moved to the hallway. John journeyed to the bedroom. Where was the milk before the bedroom?,hallway,a)kitchen b)garden c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,d
John went back to the garden. Mary left the football. Mary journeyed to the bathroom. Mary went to the kitchen. Mary left the milk. Where was the milk before the kitchen?,bathroom,a)bathroom b)kitchen c)garden d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,a
Sandra journeyed to the garden. Daniel moved to the bathroom. Mary went back to the bedroom. Mary moved to the bathroom. Mary left the apple there. Where was the apple before the bathroom?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)bedroom j)desk ,i
Daniel moved to the bathroom. Sandra travelled to the bedroom. Sandra moved to the hallway. John travelled to the garden. Sandra discarded the apple there. Where was the apple before the hallway?,bedroom,a)baths b)livingroom c)bedroom d)hallway e)office f)bathroom g)beds h)table i)kitchen j)desk ,c
John got the apple. Sandra moved to the hallway. John took the milk there. John went back to the bedroom. John journeyed to the hallway. Where was the milk before the hallway?,bedroom,a)kitchen b)bathroom c)hallway d)office e)bedroom f)baths g)beds h)livingroom i)garden j)desk ,e
Sandra got the milk. Sandra travelled to the bathroom. John got the apple there. John went back to the garden. John travelled to the bathroom. Where was the apple before the bathroom?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)garden h)livingroom i)bedroom j)desk ,g
Mary got the football. Sandra travelled to the garden. Mary moved to the kitchen. Sandra journeyed to the hallway. Sandra dropped the milk there. Where was the milk before the hallway?,garden,a)kitchen b)bathroom c)garden d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,c
John got the apple. Daniel travelled to the office. Mary journeyed to the bedroom. Mary went to the office. Mary left the football. Where was the football before the office?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)bedroom j)desk ,i
Daniel grabbed the apple there. Mary got the football. Daniel went back to the kitchen. Daniel journeyed to the hallway. Daniel discarded the apple. Where was the apple before the hallway?,kitchen,a)bedroom b)kitchen c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)garden j)desk ,b
Mary got the milk. Daniel went to the garden. John picked up the apple there. John went back to the garden. John journeyed to the hallway. Where was the apple before the hallway?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)bedroom i)desk j)garden ,j
Mary journeyed to the hallway. Mary got the milk. John went to the kitchen. John went to the office. John dropped the milk. Where was the milk before the office?,kitchen,a)bedroom b)bathroom c)hallway d)office e)kitchen f)baths g)beds h)livingroom i)garden j)desk ,e
Mary moved to the office. Mary travelled to the garden. Sandra journeyed to the garden. Sandra moved to the hallway. Sandra discarded the apple. Where was the apple before the hallway?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)bedroom i)garden j)desk ,i
John got the football. Daniel picked up the apple. Daniel journeyed to the garden. Daniel travelled to the office. Daniel put down the apple. Where was the apple before the office?,garden,a)kitchen b)bathroom c)garden d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,c
John journeyed to the hallway. Sandra went back to the bedroom. Mary moved to the bedroom. Mary moved to the kitchen. Mary put down the football. Where was the football before the kitchen?,bedroom,a)kitchen b)bedroom c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)garden j)desk ,b
John picked up the football there. Daniel went back to the bathroom. Mary went back to the kitchen. Mary moved to the garden. Mary left the apple. Where was the apple before the garden?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)desk j)kitchen ,j
John went to the bathroom. Sandra put down the apple there. Sandra grabbed the apple. Sandra travelled to the garden. Sandra journeyed to the bathroom. Where was the apple before the bathroom?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)bedroom i)desk j)garden ,j
Sandra journeyed to the kitchen. Daniel got the apple. Sandra moved to the garden. Sandra journeyed to the bathroom. Sandra put down the milk. Where was the milk before the bathroom?,garden,a)kitchen b)bathroom c)hallway d)garden e)office f)baths g)beds h)livingroom i)bedroom j)desk ,d
John went back to the kitchen. Daniel moved to the bathroom. Daniel moved to the hallway. Daniel travelled to the office. Daniel discarded the football. Where was the football before the office?,hallway,a)kitchen b)garden c)bathroom d)office e)baths f)hallway g)beds h)livingroom i)bedroom j)desk ,f
Sandra left the football. Daniel discarded the apple. Daniel moved to the hallway. Daniel travelled to the office. Daniel put down the milk. Where was the milk before the office?,hallway,a)beds b)livingroom c)kitchen d)office e)bathroom f)baths g)table h)garden i)bedroom j)desk ,k
Mary discarded the milk. Mary travelled to the bathroom. John got the apple. John journeyed to the hallway. John travelled to the garden. Where was the apple before the garden?,hallway,a)kitchen b)hallway c)garden d)bathroom e)office f)baths g)beds h)livingroom i)bedroom j)desk ,b
Daniel journeyed to the garden. Sandra travelled to the hallway. John travelled to the bedroom. John travelled to the office. John dropped the milk there. Where was the milk before the office?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)bedroom j)desk ,i
Mary went back to the hallway. Daniel moved to the office. Sandra picked up the milk. Sandra moved to the garden. Sandra journeyed to the bedroom. Where was the milk before the bedroom?,garden,a)kitchen b)garden c)bathroom d)hallway e)office f)baths g)beds h)livingroom i)bedroom j)desk ,b
Daniel went to the garden. Mary went back to the garden. Mary travelled to the garden. Mary went to the bedroom. Mary dropped the milk. Where was the milk before the bedroom?,garden,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)bedroom i)desk j)garden ,j
Daniel moved to the office. Mary went to the office. Sandra went back to the kitchen. Sandra moved to the office. Sandra discarded the apple. Where was the apple before the office?,kitchen,a)beds b)livingroom c)bedroom d)office e)hallway f)baths g)table h)bathroom i)garden j)desk ,k
Sandra travelled to the kitchen. John went to the bedroom. John journeyed to the hallway. John travelled to the bedroom. John discarded the football. Where was the football before the bedroom?,hallway,a)hallway b)kitchen c)garden d)bathroom e)office f)baths g)beds h)livingroom i)bedroom j)desk ,a
Mary got the football. Daniel went to the office. Daniel journeyed to the bedroom. Daniel went back to the hallway. Daniel discarded the milk. Where was the milk before the hallway?,bedroom,a)kitchen b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)garden i)desk j)bedroom ,j
Daniel went back to the office. Mary moved to the bedroom. Mary journeyed to the bedroom. Mary moved to the office. Mary put down the milk. Where was the milk before the office?,bedroom,a)kitchen b)bathroom c)hallway d)bedroom e)office f)baths g)beds h)livingroom i)garden j)desk ,d
Daniel moved to the office. Mary went back to the bathroom. Mary journeyed to the kitchen. Mary went to the garden. Mary dropped the milk there. Where was the milk before the garden?,kitchen,a)bedroom b)bathroom c)hallway d)office e)baths f)beds g)livingroom h)kitchen i)garden j)desk ,h
John put down the milk. Mary journeyed to the garden. Sandra journeyed to the bathroom. Sandra went to the garden. Sandra put down the football. Where was the football before the garden?,bathroom,a)beds b)livingroom c)kitchen d)office e)hallway f)baths g)table h)garden i)bedroom j)desk ,k
John grabbed the apple. John left the apple. John moved to the hallway. John went back to the bedroom. John put down the apple. Where was the apple before the bedroom?,hallway,a)beds b)livingroom c)kitchen d)office e)bathroom f)baths g)table h)garden i)bedroom j)desk ,k
